run_id,parameter_label,seed,status,error,arrival_rate,nav_ratio,slam_ratio,edge_affinity_ratio,edge_rtt_ms,cloud_rtt_ms,local_ops_per_sec,edge_ops_per_sec,cloud_ops_per_sec,total_tasks,latency_mean_ms,latency_p95_ms,total_energy_wh,final_soc,local_ratio,edge_ratio,cloud_ratio,deadline_miss_rate,rules_valid
1,light_balanced,43,SUCCESS,,1.0,0.2,0.1,0.5,20.0,100.0,1000000.0,5000000.0,10000000.0,200,3559.684869382923,9626.83708948843,0.44435915525391556,79.555640844746,0.665,0.335,0.0,0.78,True
2,light_edge_heavy,44,SUCCESS,,1.0,0.2,0.1,0.8,20.0,100.0,1000000.0,5000000.0,10000000.0,200,3070.8949423931736,11296.137684782943,0.3505015616407532,79.64949843835927,0.495,0.505,0.0,0.68,True
3,light_local_heavy,45,SUCCESS,,1.0,0.2,0.1,0.2,20.0,100.0,1000000.0,5000000.0,10000000.0,200,4345.551737034116,14118.736445000217,0.5878466193194993,79.41215338068046,0.895,0.105,0.0,0.775,True
4,medium_balanced,46,SUCCESS,,2.0,0.2,0.1,0.5,20.0,100.0,1000000.0,5000000.0,10000000.0,200,3917.6388816426356,15257.045945904567,0.4978184559302166,79.5021815440698,0.685,0.315,0.0,0.74,True
5,medium_edge_heavy,47,SUCCESS,,2.0,0.2,0.1,0.8,20.0,100.0,1000000.0,5000000.0,10000000.0,200,2794.868370903654,9697.827042579318,0.30957442635377025,79.69042557364622,0.465,0.535,0.0,0.67,True
6,medium_local_heavy,48,SUCCESS,,2.0,0.2,0.1,0.2,20.0,100.0,1000000.0,5000000.0,10000000.0,200,4550.208765588315,12148.591027292852,0.6154004036558223,79.38459959634423,0.855,0.145,0.0,0.78,True
7,heavy_balanced,49,SUCCESS,,4.0,0.2,0.1,0.5,20.0,100.0,1000000.0,5000000.0,10000000.0,200,3231.143767639231,12591.682834041456,0.3998529482527732,79.60014705174724,0.635,0.365,0.0,0.735,True
8,heavy_edge_heavy,50,SUCCESS,,4.0,0.2,0.1,0.8,20.0,100.0,1000000.0,5000000.0,10000000.0,200,2750.6248114594828,9143.595598777507,0.2811685504848155,79.7188314495151,0.4,0.6,0.0,0.71,True
9,very_heavy_balanced,51,SUCCESS,,6.0,0.2,0.1,0.5,20.0,100.0,1000000.0,5000000.0,10000000.0,200,3344.924927433743,11980.934486235665,0.41995761913499996,79.58004238086507,0.68,0.32,0.0,0.69,True
10,slam_intensive,52,SUCCESS,,2.0,0.1,0.3,0.5,20.0,100.0,1000000.0,5000000.0,10000000.0,200,4118.821161566779,13419.230557520763,0.5310790467066941,79.46892095329332,0.72,0.28,0.0,0.77,True
11,nav_intensive,53,SUCCESS,,2.0,0.4,0.1,0.5,20.0,100.0,1000000.0,5000000.0,10000000.0,200,4306.872450514308,14115.782023664837,0.5601198443371964,79.43988015566295,0.76,0.24,0.0,0.785,True
12,generic_only,54,SUCCESS,,2.0,0.0,0.0,0.5,20.0,100.0,1000000.0,5000000.0,10000000.0,200,3443.6256100970613,13589.514739974651,0.41638201569432526,79.58361798430579,0.525,0.475,0.0,0.67,True
